Sample_ID	Pop_ID	Loc_ID	Locus_1.1	Locus_1.2	Locus_1.3	UDO.1	UDO.2	UDO.3	Locus_3.1	Locus_3.2	Locus_3.3	Locus_4.1	Locus_4.2	Locus_4.3	GAAF35454.1	GAAF35454.2	GAAF35454.3	Locus_6.1	Locus_6.2	Locus_6.3
S319	12	8	142	172	200	228	300	246	316	352	372	358	378	416	300	358	352	232	266	284
S320	9	7	166	180	208	234	236	240	302	344	386	352	370	400	300	342	358	236	276	300
S321	3	8	164	188	206	234	238	242	312	358	384	346	378	400	344	352	344	230	264	290
S322	7	1	142	178	192	226	226	250	302	344	376	358	372	414	346	348	348	248	278	284
S323	7	7	146	182	206	228	226	250	302	344	388	358	360	414	358	350	358	248	264	292
S324	11	1	164	184	200	226	232	254	318	356	388	354	368	408	350	348	356	244	266	296
S325	4	5	150	178	204	232	226	248	304	342	378	300	370	418	300	356	348	248	264	288
S326	11	7	170	178	198	230	232	246	306	348	382	348	378	404	358	342	356	236	280	292
S327	11	7	160	172	202	236	230	252	316	350	384	348	364	412	356	346	358	242	272	296
S328	10	3	170	182	208	238	300	256	304	346	378	352	378	408	346	342	348	242	280	286
S329	6	3	154	188	190	220	234	252	302	346	382	358	372	410	344	346	346	230	278	296
S330	12	7	140	186	204	232	238	252	310	344	388	358	366	418	354	356	300	236	268	290
S331	3	5	146	176	202	228	226	256	302	342	382	356	370	408	352	342	300	234	270	290
S332	6	6	140	174	202	222	300	244	304	358	374	342	364	412	342	350	350	240	264	290
S333	3	8	146	182	190	228	238	254	308	346	382	352	376	416	348	358	358	242	278	288
S334	3	7	162	184	204	220	230	248	318	358	382	356	374	408	300	342	348	232	264	300
S335	11	5	164	186	208	228	226	240	312	348	386	358	374	412	358	344	344	238	272	290
S336	9	2	170	186	192	236	222	240	316	356	376	344	370	400	348	352	356	238	272	286
S337	2	4	146	182	194	234	226	252	314	354	386	354	364	404	348	358	350	248	270	282
S338	13	6	146	184	190	232	230	246	NA	NA	NA	352	364	414	348	358	342	234	278	288
S339	11	8	142	184	198	238	226	258	304	354	384	358	366	412	344	352	356	242	268	300
S340	5	5	146	174	208	232	224	242	308	346	380	348	378	404	346	356	348	234	274	296
S341	15	1	150	176	196	220	224	248	308	344	374	356	360	418	342	350	358	234	280	288
S342	7	2	140	176	206	222	224	242	314	344	388	344	376	402	346	300	358	246	264	294
S343	2	3	142	172	202	222	300	250	312	350	388	348	372	410	348	300	352	230	280	300
S344	1	3	162	184	190	220	234	256	304	358	380	358	366	400	344	358	358	236	266	300
S345	10	5	170	176	202	230	222	248	312	342	382	354	376	414	342	300	358	246	262	286
S346	5	1	146	184	202	236	222	242	314	344	386	342	360	408	350	358	300	238	280	292
S347	4	8	170	186	200	226	234	246	310	352	376	300	362	402	344	300	300	236	264	288
S348	11	7	164	188	206	236	234	242	314	346	372	352	364	416	354	344	348	246	262	292
S349	5	4	166	178	202	228	234	250	304	358	388	358	374	400	300	300	300	234	274	286
S350	1	4	142	188	192	220	226	254	316	344	372	348	366	404	342	300	356	238	280	294
S351	11	1	142	172	198	230	220	244	314	344	376	354	378	418	342	350	350	230	270	298
S352	3	6	146	182	196	238	222	242	314	342	378	358	364	410	300	358	342	230	272	286
S353	9	5	160	186	194	220	300	254	318	342	378	300	374	418	344	348	350	242	280	298
S354	6	5	166	176	202	220	224	242	318	342	382	346	376	416	358	356	348	238	272	300
S355	2	8	162	182	190	220	238	254	304	350	388	358	366	400	356	346	342	230	268	290
S356	10	6	154	188	192	224	220	256	316	348	384	344	372	412	344	346	342	240	266	288
S357	14	2	150	172	208	232	226	240	312	350	378	352	378	408	344	342	348	230	276	286
S358	10	1	166	172	196	236	222	240	316	344	372	352	360	412	358	346	344	246	274	282
S359	11	6	164	172	190	224	224	256	312	348	370	356	362	418	354	350	346	248	264	294
S360	15	4	164	174	202	234	236	246	318	352	386	358	362	402	344	342	300	238	278	300
S361	3	5	154	178	208	228	234	242	304	352	372	352	362	410	348	300	348	246	264	286
S362	1	1	170	180	194	226	238	242	304	358	382	356	374	410	352	356	350	232	272	292
S363	15	5	164	176	202	238	220	240	308	356	370	300	374	408	356	354	344	236	272	292
S364	6	8	170	188	204	236	232	240	312	344	380	344	368	402	300	300	342	244	278	282
S365	2	7	154	184	202	224	224	246	304	354	378	348	378	402	348	348	346	242	270	284
S366	12	4	154	184	198	232	300	258	304	356	380	300	374	412	356	354	348	230	270	298
S367	7	8	160	174	198	234	230	246	310	342	380	348	372	408	352	354	300	234	262	288
S368	11	3	146	176	204	220	238	248	302	346	386	358	378	410	300	348	344	230	276	284
S369	7	8	140	186	204	236	234	246	302	350	388	348	362	402	300	358	300	234	264	286
S370	10	3	142	174	200	232	232	250	312	354	382	352	378	404	350	346	358	234	264	282
S371	10	6	162	184	194	222	238	248	304	356	388	300	378	404	342	350	300	230	262	290
S372	3	4	154	180	206	220	238	254	302	342	388	346	370	410	300	344	356	248	270	296
S373	7	5	162	184	204	236	230	256	300	348	376	344	364	406	358	356	348	238	264	294
S374	14	8	140	184	194	222	234	254	310	356	380	344	362	408	346	300	352	230	280	284
S375	9	7	154	178	208	230	226	250	300	344	386	358	370	400	346	344	346	246	278	286
S376	3	8	160	174	196	230	220	240	310	352	388	NA	NA	NA	354	352	342	242	272	296
S377	4	4	140	182	198	232	232	248	310	346	376	348	374	410	346	348	358	238	264	298
S378	3	8	162	186	202	226	222	252	306	348	382	348	360	402	358	346	348	240	266	298
S379	14	2	146	180	206	224	220	240	312	350	370	348	372	412	342	300	348	232	280	296
S380	2	1	154	178	190	236	226	246	308	358	380	346	372	414	358	300	346	240	272	290
S381	8	4	154	172	200	230	226	244	310	350	382	348	362	418	300	346	348	232	272	282
S382	10	3	162	182	204	226	232	252	316	358	386	356	374	400	348	358	356	230	280	300
S383	15	1	160	176	198	222	230	244	312	346	378	300	360	418	300	356	348	240	272	286
S384	10	1	162	182	204	224	236	252	314	350	388	344	372	404	356	346	342	242	268	284
S385	14	4	160	172	192	222	234	250	300	358	380	356	362	406	346	346	358	236	280	282
S386	13	1	162	186	200	238	300	240	316	358	372	344	368	408	356	348	344	234	264	296
S387	2	2	160	178	196	230	222	240	302	354	388	348	378	416	348	354	356	242	272	296
S388	1	3	170	182	200	232	238	246	308	348	370	342	376	408	344	350	358	232	274	294
S389	1	3	150	172	194	230	230	242	312	358	370	348	372	416	352	344	358	244	262	298
S390	15	1	160	172	202	234	230	258	304	348	382	354	366	402	342	348	348	240	276	288
S391	13	5	164	176	192	230	226	250	314	354	386	352	372	416	346	342	300	246	266	298
S392	2	2	142	186	206	232	238	258	302	358	370	352	364	406	344	348	350	242	268	300
S393	8	5	154	186	198	224	220	248	300	348	384	344	360	410	356	358	300	240	268	290
S394	5	4	166	178	196	230	236	254	314	350	376	354	366	412	348	342	300	232	266	290
S395	14	2	164	182	194	228	234	258	300	358	382	356	370	410	354	300	358	238	276	284
S396	15	4	166	184	192	228	222	250	316	350	386	352	368	408	300	300	356	230	266	296
S397	2	5	170	182	198	232	236	246	302	350	374	344	370	410	342	348	358	236	278	292
S398	15	4	170	182	198	232	222	244	302	344	382	358	364	406	300	352	348	238	266	292
S399	8	3	160	186	194	230	222	242	304	356	372	346	374	402	350	348	342	248	276	294
S400	1	7	150	176	198	228	238	242	310	350	388	354	366	412	346	300	348	242	270	296
S401	11	3	146	172	200	224	220	244	314	354	386	348	374	400	348	348	342	234	262	296
S402	13	1	164	178	194	230	230	242	300	356	388	348	374	414	348	342	358	238	262	290
S403	8	7	150	186	196	222	234	252	308	352	380	344	378	400	348	350	348	230	278	284
S404	8	3	166	174	192	236	230	256	306	342	372	352	368	402	354	346	342	234	280	294
S405	10	7	146	176	192	224	226	250	310	352	380	358	360	416	342	352	358	240	262	286
S406	5	4	154	174	202	220	236	248	300	348	372	358	362	400	348	348	352	230	268	286
S407	9	4	146	176	198	232	234	252	310	356	376	356	360	406	356	342	342	246	278	290
S408	9	5	162	174	196	230	232	240	310	356	374	344	366	410	350	352	358	240	272	300
S409	4	5	146	182	198	224	236	248	300	358	372	346	376	412	356	350	350	236	276	290
S410	2	6	140	178	204	226	226	244	316	356	388	358	366	414	352	346	350	232	270	290
S411	11	8	140	182	206	232	300	248	302	344	388	358	370	412	350	300	342	234	278	284
S412	7	8	140	184	196	224	300	248	314	352	374	352	364	414	358	350	346	236	262	298
S413	10	4	162	182	198	220	238	248	312	358	388	358	370	412	350	356	350	242	268	290
S414	9	1	154	172	196	236	300	240	304	344	386	348	372	404	358	344	348	232	270	292
S415	9	4	160	172	190	224	232	242	312	348	388	348	366	410	344	300	342	234	274	282
S416	4	5	166	174	196	228	224	256	308	354	380	358	378	414	350	356	348	238	272	294
S417	5	7	154	186	194	236	224	252	306	358	372	346	376	404	344	346	358	234	278	294
S418	13	5	142	182	200	238	236	246	316	342	386	358	370	404	342	358	342	244	270	284
S419	10	7	142	188	200	224	222	242	318	356	374	352	374	414	350	352	358	242	268	294
S420	7	5	162	184	202	222	220	240	314	344	384	354	368	410	350	352	358	240	268	294
S421	12	5	164	174	190	226	238	244	308	358	376	344	374	406	354	344	344	236	266	294
S422	4	5	140	182	206	238	236	242	302	342	384	358	366	414	342	342	358	232	270	294
S423	11	7	162	182	192	220	236	240	316	342	388	352	376	402	358	354	356	230	266	300
S424	3	6	150	182	208	220	300	256	302	344	374	300	376	418	350	358	300	244	268	282
S425	15	8	150	180	190	232	234	242	316	344	388	300	360	416	346	356	346	234	272	300
S426	7	2	142	176	202	222	236	248	304	358	374	300	362	410	300	358	348	234	278	300
S427	7	3	164	180	192	222	234	256	304	342	382	300	378	410	348	356	356	248	262	292
S428	3	1	142	172	190	238	238	256	310	352	382	344	366	412	358	344	356	244	268	284
S429	3	2	164	186	202	226	232	246	300	358	382	356	364	400	350	350	358	244	270	298
S430	5	7	142	172	190	228	300	254	316	350	374	346	372	414	300	356	346	242	264	300
S431	3	4	162	180	202	236	232	240	314	342	374	354	360	416	300	346	348	236	266	300
S432	1	3	164	180	198	224	232	254	310	352	384	356	360	400	356	356	358	246	272	288
S433	10	6	154	184	204	220	224	246	302	354	382	346	376	410	350	342	348	238	276	284
S434	7	5	170	174	190	236	236	252	314	358	382	344	378	400	348	344	358	246	268	286
S435	5	1	170	178	204	232	230	254	302	344	378	356	376	414	344	346	358	242	270	290
S436	7	8	154	184	204	226	226	252	300	354	384	352	360	406	348	352	352	248	280	286
S437	12	1	146	188	206	238	232	250	314	342	386	344	366	412	352	348	352	230	264	286
S438	12	7	154	182	204	230	222	248	300	342	380	300	378	402	350	348	356	232	272	292
S439	12	1	164	172	208	234	226	254	314	354	370	356	378	408	344	354	358	232	280	300
S440	13	7	162	188	194	228	238	248	306	342	382	356	378	416	342	350	300	244	262	290
S441	12	7	150	174	190	222	238	250	316	354	376	358	376	418	344	348	348	234	270	290
S442	10	5	164	188	206	230	224	240	318	354	382	356	376	406	342	342	350	236	266	290
S443	14	1	164	174	192	222	300	240	306	356	372	354	378	402	350	300	342	236	264	300
S444	3	1	162	184	204	236	238	254	312	350	372	300	368	418	358	342	352	232	272	294
S445	14	8	164	182	190	238	222	256	306	344	378	354	378	406	342	300	300	244	278	282
S446	7	1	162	182	204	220	226	248	302	346	384	356	372	418	358	342	358	238	274	286
S447	8	6	166	182	208	238	222	242	306	344	372	300	376	414	358	346	358	236	278	282
S448	10	1	170	174	194	232	236	244	306	358	384	358	372	408	300	344	358	232	278	294
S449	1	7	162	182	204	228	236	258	312	350	384	352	368	404	350	344	344	236	272	282
S450	11	5	146	182	194	226	234	242	308	346	378	354	362	408	356	348	356	244	274	284
S451	3	3	166	178	208	238	300	244	306	346	374	346	374	416	342	356	300	244	268	298
S452	11	5	154	182	202	224	226	242	314	354	384	342	362	400	300	346	344	236	268	294
S453	12	6	166	174	192	228	224	256	318	342	372	348	368	406	300	356	346	238	266	290
S454	10	7	150	188	196	220	230	244	302	350	378	348	368	412	352	344	358	248	264	286
S455	2	7	140	176	190	222	226	248	308	358	384	358	364	404	342	348	346	230	268	290
S456	10	7	160	172	208	226	300	250	318	344	370	346	360	404	344	346	352	238	276	284
S457	14	5	166	176	194	224	222	248	316	358	378	342	366	416	350	344	342	234	280	284
S458	9	2	170	176	192	222	232	248	302	354	376	358	362	402	356	350	358	234	270	294
S459	3	5	154	182	196	230	234	242	316	346	386	354	368	404	348	358	346	240	274	282
S460	14	1	164	184	196	238	230	242	316	346	374	344	368	410	350	348	352	236	278	282
S461	5	2	162	186	204	230	236	244	310	348	380	342	376	414	348	348	356	240	268	298
S462	9	3	146	186	194	234	230	240	302	344	382	358	368	400	346	346	300	240	278	288
S463	2	7	154	188	206	224	230	244	316	342	388	348	376	402	342	346	346	248	268	296
S464	8	4	170	180	190	228	222	244	316	358	382	358	370	412	342	346	358	234	262	294
S465	7	2	164	188	194	222	224	252	308	350	370	358	376	416	342	348	350	240	266	300
S466	5	7	170	178	194	226	224	248	308	350	388	300	372	418	356	344	300	244	262	300
S467	4	2	164	174	192	232	224	258	308	346	384	344	364	404	346	354	300	244	276	294
S468	5	7	164	188	202	234	222	258	314	356	378	352	360	400	354	300	350	238	276	300
S469	13	8	162	174	190	220	232	240	316	346	372	358	364	412	358	346	342	242	268	298
S470	3	1	146	180	194	232	222	250	308	350	380	354	376	404	344	350	358	246	280	288
S471	3	1	146	184	200	224	238	256	308	358	380	354	362	408	354	300	358	244	270	286
S472	12	2	142	182	206	236	222	244	314	354	378	342	362	410	344	352	348	240	268	294
S473	6	5	154	186	202	220	236	242	312	348	370	346	370	416	344	342	352	246	276	284
S474	11	1	170	180	206	226	230	252	316	342	378	352	364	412	350	358	342	232	270	284
S475	3	6	162	184	190	222	234	252	300	346	378	346	374	410	342	350	350	230	280	300
S476	15	8	142	186	202	220	232	248	310	346	382	356	376	408	346	344	344	242	262	298
S477	13	5	160	186	208	234	230	242	306	358	370	356	364	408	356	348	348	236	274	296
S478	4	5	162	182	190	228	220	258	310	358	384	300	368	414	350	300	342	244	276	284
S479	1	5	164	180	198	230	220	244	308	350	372	342	360	412	300	352	300	240	280	294
S480	7	1	150	188	196	220	224	258	318	358	382	344	376	402	358	346	356	232	270	294
S481	15	3	162	178	190	234	220	246	304	358	382	356	364	412	346	354	358	246	274	284
S482	14	8	146	178	198	228	236	240	312	342	370	348	364	418	352	352	358	244	272	292
S483	2	4	160	176	198	236	220	254	310	348	372	352	374	402	350	358	358	236	270	286
S484	3	2	154	174	196	228	300	258	314	346	386	348	374	400	358	354	356	248	264	292
S485	4	3	154	186	202	236	230	252	318	354	384	300	362	400	344	354	358	246	264	294
S486	14	8	140	184	202	222	224	244	304	352	376	356	378	410	348	346	348	244	264	292
S487	3	6	160	182	206	234	226	242	314	346	388	344	370	406	354	300	300	246	264	282
S488	14	5	140	178	200	230	230	252	306	346	382	342	368	406	358	300	300	236	268	290
S489	6	5	146	174	190	236	230	244	300	356	376	348	368	402	354	342	358	230	272	286
S490	15	5	154	188	202	236	234	242	300	356	382	346	374	416	356	342	342	240	268	300
S491	7	2	164	172	196	234	236	246	316	348	378	352	378	410	300	344	342	236	276	298
S492	6	7	160	176	194	234	238	244	316	358	382	348	374	414	356	354	346	238	280	282
S493	5	6	146	180	192	222	230	240	306	358	376	344	366	418	354	344	350	234	280	298
S494	6	7	164	178	196	232	230	248	306	352	374	348	364	418	352	342	358	236	266	290
S495	8	2	146	180	194	224	234	244	310	352	372	352	368	400	300	344	348	232	268	288
S496	10	6	164	182	208	220	238	246	302	350	386	356	362	410	342	352	358	230	266	288
S497	8	4	154	182	190	236	224	256	308	352	378	356	364	412	352	358	350	242	264	290
S498	14	2	164	178	192	232	224	246	304	352	380	358	362	418	348	300	300	246	266	284
S499	6	4	146	176	198	224	220	244	310	348	386	354	378	400	346	356	346	234	264	284
S500	1	4	150	182	194	224	238	240	306	352	370	344	372	404	354	352	300	232	268	284
